name,display_name,certificate_id,journal,role,issue_date,valid_from,valid_until,token,status,revoked_at,cert_type,detail
Jiale Li,Dr. Jiale Li,PSG-RES-EIC-2026-000001,Resonance: Journal of Global Music Studies,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,ESB2BWWQ,active,,,
Chengwen Song,Chengwen Song,PSG-RES-CEIC-2026-000002,Resonance: Journal of Global Music Studies,Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,JFHUM4D5,active,,,
Jiahong Ao,Jiahong Ao,PSG-RES-AE-2026-000003,Resonance: Journal of Global Music Studies,Associate Editor,2026-08-15,2026-08-15,2029-08-14,T26BUNKX,active,,,
Xiaoyue Yan,Xiaoyue Yan,PSG-RES-AE-2026-000004,Resonance: Journal of Global Music Studies,Associate Editor,2026-08-15,2026-08-15,2029-08-14,YBS9XYRD,active,,,
Weiyi Li,Weiyi Li,PSG-RES-SE-2026-000005,Resonance: Journal of Global Music Studies,Section Editor,2026-08-15,2026-08-15,2029-08-14,4WMDFKGX,active,,,
Hanlin Li,Hanlin Li,PSG-RES-ASE-2026-000006,Resonance: Journal of Global Music Studies,Assistant Editor,2026-08-15,2026-08-15,2029-08-14,MV6D5K3W,active,,,
Ziying Lin,Ziying Lin,PSG-RES-EBC-2026-000007,Resonance: Journal of Global Music Studies,Editorial Board Member (Chair),2026-08-15,2026-08-15,2029-08-14,BCNBMAQ7,active,,,
Shiao Guo,Shiao Guo,PSG-RES-EB-2026-000008,Resonance: Journal of Global Music Studies,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,U5Y5K36D,active,,,
Ning Luo,Ning Luo,PSG-RES-EB-2026-000009,Resonance: Journal of Global Music Studies,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,ZPUXAPKB,active,,,
Jiaxin Li,Jiaxin Li,PSG-RES-EB-2026-000010,Resonance: Journal of Global Music Studies,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,VSZDG68Z,active,,,
Mingliang Han,Mingliang Han,PSG-RES-EB-2026-000011,Resonance: Journal of Global Music Studies,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,KTSQ4D2H,active,,,
Frank Gunderson,Prof. Frank Gunderson,PSG-RES-AAB-2026-000012,Resonance: Journal of Global Music Studies,Academic Advisory Board,2026-08-15,2026-08-15,2029-08-14,Z4BXSEJS,active,,,
Katherine Meizel,Prof. Katherine Meizel,PSG-RES-AAB-2026-000013,Resonance: Journal of Global Music Studies,Academic Advisory Board,2026-08-15,2026-08-15,2029-08-14,UAGUWBKH,active,,,
Jacques Diderot,Jacques Diderot,PSG-SILENCE-EIC-2026-000001,Silence,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,AUFJD67K,active,,,
Xingkai Zhang,Xingkai Zhang,PSG-SILENCE-ASE-2026-000002,Silence,Assistant Editor,2026-08-15,2026-08-15,2029-08-14,6XEF6DH7,active,,,
Qilong Wang,Qilong Wang,PSG-SILENCE-EB-2026-000003,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,K35KHXQS,active,,,
Sichen Xia,Sichen Xia,PSG-SILENCE-EB-2026-000004,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,U35GZ87E,active,,,
Yaolin Zhang,Yaolin Zhang,PSG-SILENCE-EB-2026-000005,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,U5EQY6E6,active,,,
Yunze Lu,Yunze Lu,PSG-SILENCE-EB-2026-000006,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,KHQY5RCA,active,,,
Yufei Shao,Yufei Shao,PSG-SILENCE-EB-2026-000007,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,XJS4XPAB,active,,,
Siheng Ma,Siheng Ma,PSG-SILENCE-EB-2026-000008,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,FYSXQNDR,active,,,
