journal,role,name,affiliation
Resonance: Journal of Global Music Studies,Editor-in-Chief,Dr. Jiale Li,"College of Music, Midwest University, Wentzville, MO, USA"
Resonance: Journal of Global Music Studies,Co-Editor-in-Chief,Chengwen Song,"Department of Public Administration, Graduate School, Kookmin University, Seoul, South Korea"
Resonance: Journal of Global Music Studies,Associate Editor,Jiahong Ao,"School of Music, Guangzhou College of Applied Science and Technology, China"
Resonance: Journal of Global Music Studies,Associate Editor,Xiaoyue Yan,"School of Music, Guangzhou College of Applied Science and Technology, China"
Resonance: Journal of Global Music Studies,Section Editor,Weiyi Li,"School of Music, College of Liberal Arts, University of Minnesota Twin Cities, USA"
Resonance: Journal of Global Music Studies,Assistant Editor,Hanlin Li,"School of Music and Dance, Kunming University, China"
Resonance: Journal of Global Music Studies,Editorial Board Member (Chair),Ziying Lin,"Faculty of Performance, Singapore Raffles Music College, Singapore"
Resonance: Journal of Global Music Studies,Editorial Board Member,Shiao Guo,"School of Music, Dalian Art College, China"
Resonance: Journal of Global Music Studies,Editorial Board Member,Ning Luo,"London College of Music, University of West London, United Kingdom"
Resonance: Journal of Global Music Studies,Editorial Board Member,Jiaxin Li,"Department of Musicology, Gnessin Russian Academy of Music, Moscow, Russia"
Resonance: Journal of Global Music Studies,Editorial Board Member,Mingliang Han,"Department of Music, Harvard University, Cambridge, MA, USA"
Resonance: Journal of Global Music Studies,Academic Advisory Board,Prof. Frank Gunderson,"College of Music, Florida State University, Tallahassee, FL, USA"
Resonance: Journal of Global Music Studies,Academic Advisory Board,Prof. Katherine Meizel,"College of Musical Arts, Bowling Green State University, Bowling Green, OH, USA"
Silence,Editor-in-Chief,Jacques Diderot,"Editorial Office, Panorama Scholarly Group, Berlin, Germany"
Silence,Assistant Editor,Xingkai Zhang,"Graduate School, Xinjiang Medical University, Urumqi, China"
Silence,Editorial Board Member,Qilong Wang,"Gansu University of Traditional Chinese Medicine, Lanzhou, China"
Silence,Editorial Board Member,Sichen Xia,"Nanjing Medical University, Nanjing, China"
Silence,Editorial Board Member,Yaolin Zhang,"Jinan University, Guangzhou, China"
Silence,Editorial Board Member,Yunze Lu,"China Pharmaceutical University, Nanjing, China"
Silence,Editorial Board Member,Yufei Shao,"Shanghai University, Shanghai, China"
Silence,Editorial Board Member,Siheng Ma,"Xijing Hospital, The Fourth Military Medical University, Xi'an, China"
Silence,Editorial Board Member,Alan Pan,"Department of Cognitive Psychology, Leiden University, Leiden, Netherlands"
Silence,Editorial Board Member,Xueqing Deng,"University of Antwerp, Antwerp, Belgium"
Silence,Editorial Board Member,Chengtian Liang,"School of Physics, Hangzhou Normal University, Hangzhou, China"
AI & Future Society,Editor-in-Chief,Zekai Yu,"School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China"
AI & Future Society,Associate Editor,Yuhong Wang,"School of Foreign Languages, North China Electric Power University, Beijing, China"
